DAY_TYPE,TIME_PER_HOUR,START,END,TOTAL_TRIPS,COUNT,CROWDEDNESS,START_NAME,END_NAME
WEEKDAY,0.0,DT12,NE7,49.0,8.413038384617332,0.0,Little India,Little India
WEEKDAY,0.0,DT13,DT12,1043.0,650.5080228251281,0.0,Rochor,Little India
WEEKDAY,0.0,DT13,DT14,17.0,1.6580453859865625,0.0,Rochor,Bugis
WEEKDAY,0.0,DT14,DT13,1029.0,589.4246894917948,0.0,Bugis,Rochor
WEEKDAY,0.0,DT14,DT15,32.0,5.776206799736212,0.0,Bugis,Promenade
WEEKDAY,0.0,DT14,EW12,68.0,27.807635664988606,0.0,Bugis,Bugis
WEEKDAY,0.0,DT15,CC4,89.0,10.608413907214217,0.0,Promenade,Promenade
WEEKDAY,0.0,DT15,DT14,936.0,515.3117422309373,0.0,Promenade,Bugis
WEEKDAY,0.0,DT15,DT16,60.0,13.248410077350346,0.0,Promenade,Bayfront
WEEKDAY,0.0,DT16,CE1,14.0,1.3337505141916908,0.0,Bayfront,Bayfront
WEEKDAY,0.0,DT16,DT15,618.0,458.92159250135256,0.0,Bayfront,Promenade
WEEKDAY,0.0,DT16,DT17,200.0,112.98397964585476,0.0,Bayfront,Downtown
WEEKDAY,0.0,DT17,DT16,226.0,153.7550929216409,0.0,Downtown,Bayfront
WEEKDAY,0.0,DT17,DT18,276.0,142.2923129791881,0.0,Downtown,Telok Ayer
WEEKDAY,0.0,DT18,DT17,171.0,104.06342625497425,0.0,Telok Ayer,Downtown
WEEKDAY,0.0,DT18,DT19,374.0,188.9275510744262,0.0,Telok Ayer,Chinatown
WEEKDAY,0.0,DT19,DT18,113.0,57.69866435021233,0.0,Chinatown,Telok Ayer
WEEKDAY,0.0,DT19,DT20,262.0,192.76081862387022,0.0,Chinatown,Fort Canning
WEEKDAY,0.0,DT19,NE4,176.0,20.583855472013365,0.0,Chinatown,Chinatown
WEEKDAY,0.0,DT2,DT1,559.0,384.7260186348896,0.0,Cashew,Bukit Panjang
WEEKDAY,0.0,DT20,DT19,92.0,55.50732600732601,0.0,Fort Canning,Chinatown
WEEKDAY,0.0,DT20,DT21,274.0,205.76081862387022,0.0,Fort Canning,Bencoolen
WEEKDAY,0.0,DT21,DT20,56.0,30.507326007326007,0.0,Bencoolen,Fort Canning
WEEKDAY,0.0,DT21,DT22,342.0,273.68939005244164,0.0,Bencoolen,Jalan Besar
WEEKDAY,0.0,DT22,DT21,38.0,18.435897435897434,0.0,Jalan Besar,Bencoolen
WEEKDAY,0.0,DT22,DT23,478.0,401.68939005244164,0.0,Jalan Besar,Bendemeer
WEEKDAY,0.0,DT23,DT22,21.0,3.4358974358974357,0.0,Bendemeer,Jalan Besar
WEEKDAY,0.0,DT23,DT24,499.0,420.68939005244164,0.0,Bendemeer,Geylang Bahru
WEEKDAY,0.0,DT24,DT23,20.0,2.4358974358974357,0.0,Geylang Bahru,Bendemeer
WEEKDAY,0.0,DT24,DT25,483.0,404.68939005244164,0.0,Geylang Bahru,Mattar
WEEKDAY,0.0,DT25,DT24,23.0,3.4358974358974357,0.0,Mattar,Geylang Bahru
WEEKDAY,0.0,DT25,DT26,455.0,377.3209689998101,0.0,Mattar,MacPherson
WEEKDAY,0.0,DT26,CC10,19.0,5.206008256449433,0.0,MacPherson,MacPherson
WEEKDAY,0.0,DT26,DT25,30.0,5.0674763832658565,0.0,MacPherson,Mattar
WEEKDAY,0.0,DT26,DT27,710.0,477.1786176383693,0.0,MacPherson,Ubi
WEEKDAY,0.0,DT27,DT26,4.0,1.9513888888888888,0.0,Ubi,MacPherson
WEEKDAY,0.0,DT27,DT28,680.0,465.1786176383693,0.0,Ubi,Kaki Bukit
WEEKDAY,0.0,DT28,DT27,4.0,1.9513888888888888,0.0,Kaki Bukit,Ubi
WEEKDAY,0.0,DT28,DT29,610.0,416.2286176383693,0.0,Kaki Bukit,Bedok North
WEEKDAY,0.0,DT29,DT28,5.0,2.001388888888889,0.0,Bedok North,Kaki Bukit
WEEKDAY,0.0,DT29,DT30,594.0,398.2286176383693,0.0,Bedok North,Bedok Reservoir
WEEKDAY,0.0,DT3,DT2,583.0,401.7260186348896,0.0,Hillview,Cashew
WEEKDAY,0.0,DT30,DT29,7.0,4.001388888888889,0.0,Bedok Reservoir,Bedok North
WEEKDAY,0.0,DT30,DT31,524.0,348.77147478122646,0.0,Bedok Reservoir,Tampines West
WEEKDAY,0.0,DT31,DT30,11.0,4.544246031746032,0.0,Tampines West,Bedok Reservoir
WEEKDAY,0.0,DT31,DT32,468.0,299.93691595769707,0.0,Tampines West,Tampines
WEEKDAY,0.0,DT32,DT31,26.0,5.70968720821662,0.0,Tampines,Tampines West
WEEKDAY,0.0,DT32,DT33,402.0,359.78933098479473,0.0,Tampines,Tampines East
WEEKDAY,0.0,DT32,EW2,72.0,7.117781810502904,0.0,Tampines,Tampines
WEEKDAY,0.0,DT33,DT32,151.0,17.340218298450655,0.0,Tampines East,Tampines
WEEKDAY,0.0,DT33,DT34,89.0,76.05714772687615,0.0,Tampines East,Upper Changi
WEEKDAY,0.0,DT34,DT33,154.0,16.608035040532105,0.0,Upper Changi,Tampines East
WEEKDAY,0.0,DT34,DT35,22.0,16.655278924435272,0.0,Upper Changi,Expo
WEEKDAY,0.0,DT35,CG1,1.0,0.15789473684210525,0.0,Expo,Expo
WEEKDAY,0.0,DT35,DT34,195.0,20.20616623809122,0.0,Expo,Upper Changi
WEEKDAY,0.0,DT5,DT3,640.0,443.7260186348896,0.0,Beauty World,Hillview
WEEKDAY,0.0,DT6,DT5,754.0,509.7260186348896,0.0,King Albert Park,Beauty World
WEEKDAY,0.0,DT6,DT7,3.0,1.0,0.0,King Albert Park,Sixth Avenue
WEEKDAY,0.0,DT7,DT6,775.0,520.7260186348896,0.0,Sixth Avenue,King Albert Park
WEEKDAY,0.0,DT7,DT8,3.0,1.0,0.0,Sixth Avenue,Tan Kah Kee
WEEKDAY,0.0,DT8,DT7,780.0,519.7260186348896,0.0,Tan Kah Kee,Sixth Avenue
WEEKDAY,0.0,DT8,DT9,3.0,1.0,0.0,Tan Kah Kee,Botanic Gardens
WEEKDAY,0.0,DT9,CC19,68.0,9.432098408414198,0.0,Botanic Gardens,Botanic Gardens
WEEKDAY,0.0,DT9,DT10,39.0,3.4188256188256188,0.0,Botanic Gardens,Stevens
WEEKDAY,0.0,DT9,DT8,829.0,546.7260186348896,0.0,Botanic Gardens,Tan Kah Kee
WEEKDAY,0.0,EW10,EW11,15.0,6.337536809595633,0.0,Kallang,Lavender
WEEKDAY,0.0,EW10,EW9,604.0,380.0467626441849,0.0,Kallang,Aljunied
WEEKDAY,0.0,EW11,EW10,621.0,387.37368572110796,0.0,Lavender,Kallang
WEEKDAY,0.0,EW11,EW12,22.0,8.292851567077573,0.0,Lavender,Bugis
WEEKDAY,0.0,EW12,DT14,128.0,10.7927223060737,0.0,Bugis,Bugis
WEEKDAY,0.0,EW12,EW11,653.0,394.32900047858993,0.0,Bugis,Lavender
WEEKDAY,0.0,EW12,EW13,90.0,10.855278278652891,0.0,Bugis,City Hall
WEEKDAY,0.0,EW13,EW12,551.0,232.12253586477237,0.0,City Hall,Bugis
WEEKDAY,0.0,EW13,EW14,22.0,8.943584520055108,0.0,City Hall,Raffles Place
WEEKDAY,0.0,EW13,NS25,223.0,52.685180402672664,0.0,City Hall,City Hall
WEEKDAY,0.0,EW14,EW13,440.0,182.21945440180733,0.0,Raffles Place,City Hall
